Player,Pos,Nation,Age,MP,Min,Gls,Ast,G+A,Gls_90,Ast_90,xG,xAG,Comp,Squad
Aaron Cresswell,"DF,FW",eng ENG,33.0,11,436,0,0,0,0.0,0.0,0.0,0.4,eng Premier League,West Ham
Aaron Hickey,DF,sct SCO,21.0,9,713,0,0,0,0.0,0.0,0.2,0.1,eng Premier League,Brentford
Aaron Malouda,FW,fr FRA,17.0,1,1,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Lille
Aaron Ramsdale,GK,eng ENG,25.0,6,540,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Arsenal
Aaron Ramsey,"MF,FW",eng ENG,20.0,14,527,0,0,0,0.0,0.0,0.3,0.4,eng Premier League,Burnley
Aaron Seydel,FW,de GER,27.0,16,619,1,0,1,0.15,0.0,1.0,0.7,de Bundesliga,Darmstadt 98
Aaron Wan-Bissaka,DF,eng ENG,25.0,22,1780,0,2,2,0.0,0.1,0.1,1.5,eng Premier League,Manchester Utd
Aarón Escandell,GK,es ESP,27.0,2,153,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Las Palmas
Aarón Martín,DF,es ESP,26.0,22,1376,0,1,1,0.0,0.07,0.2,1.7,it Serie A,Genoa
Abakar Sylla,DF,ci CIV,20.0,22,1792,2,0,2,0.1,0.0,1.6,0.5,fr Ligue 1,Strasbourg
Abde Ezzalzouli,FW,ma MAR,21.0,26,865,1,0,1,0.1,0.0,3.0,0.3,es La Liga,Betis
Abde Ezzalzouli,"FW,MF",ma MAR,21.0,2,68,0,0,0,0.0,0.0,0.2,0.1,es La Liga,Barcelona
Abdel Abqar,DF,ma MAR,24.0,27,2312,0,0,0,0.0,0.0,0.5,0.2,es La Liga,Alavés
Abdellah Baallal,MF,ma MAR,18.0,1,4,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Clermont Foot
Abdellah Raihani,FW,ma MAR,19.0,1,10,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Atlético Madrid
Abderrahman Rebbach,"FW,MF",dz ALG,24.0,23,722,1,0,1,0.12,0.0,0.8,1.8,es La Liga,Alavés
Abdou Harroui,"MF,FW",nl NED,25.0,18,1019,3,3,6,0.26,0.26,3.1,1.2,it Serie A,Frosinone
Abdoul Kader Bamba,"FW,MF",fr FRA,29.0,23,611,2,1,3,0.29,0.15,2.1,1.0,fr Ligue 1,Nantes
Abdoul Koné,DF,fr FRA,18.0,3,193,0,0,0,0.0,0.0,0.0,0.7,fr Ligue 1,Reims
Abdoulaye Doucouré,"FW,MF",ml MLI,30.0,32,2629,7,1,8,0.24,0.03,8.8,2.9,eng Premier League,Everton
Abdoulaye Touré,MF,gn GUI,29.0,30,2284,2,0,2,0.08,0.0,3.0,0.9,fr Ligue 1,Le Havre
Abdukodir Khusanov,DF,uz UZB,19.0,11,809,0,0,0,0.0,0.0,0.2,0.1,fr Ligue 1,Lens
Abdul Mumin,DF,gh GHA,25.0,20,1694,1,0,1,0.05,0.0,0.4,0.3,es La Liga,Rayo Vallecano
Abdón Prats,"FW,MF",es ESP,30.0,34,1270,6,1,7,0.43,0.07,3.2,2.4,es La Liga,Mallorca
Ablie Jallow,"MF,FW",gm GAM,24.0,17,918,3,2,5,0.29,0.2,2.0,1.0,fr Ligue 1,Metz
Abner,DF,br BRA,23.0,23,1400,0,1,1,0.0,0.06,0.1,1.0,es La Liga,Betis
Abou Lô,"MF,DF",sn SEN,23.0,6,197,0,0,0,0.0,0.0,0.1,0.3,fr Ligue 1,Metz
Aboubacar Ali,"MF,FW",fr FRA,17.0,9,130,0,1,1,0.0,0.69,0.2,0.1,fr Ligue 1,Strasbourg
Achraf Dari,"DF,FW",ma MAR,24.0,4,121,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Brest
Achraf Hakimi,DF,ma MAR,24.0,25,1932,4,5,9,0.19,0.23,4.2,5.2,fr Ligue 1,Paris S-G
Adam Hložek,"MF,FW",cz CZE,21.0,23,459,2,3,5,0.39,0.59,3.1,0.9,de Bundesliga,Leverkusen
Adam Lallana,"MF,FW",eng ENG,35.0,25,850,0,1,1,0.0,0.11,0.8,1.7,eng Premier League,Brighton
Adam Marušić,DF,me MNE,30.0,37,3100,1,0,1,0.03,0.0,0.4,0.8,it Serie A,Lazio
Adam Masina,DF,ma MAR,29.0,20,1088,0,0,0,0.0,0.0,0.30000000000000004,0.2,"it Serie A, it Serie A","Udinese, Torino"
Adam Obert,DF,sk SVK,20.0,17,941,0,0,0,0.0,0.0,0.1,0.9,it Serie A,Cagliari
Adam Ounas,FW,dz ALG,26.0,17,418,1,0,1,0.22,0.0,0.6,1.9,fr Ligue 1,Lille
Adam Smith,DF,eng ENG,32.0,28,2150,0,2,2,0.0,0.08,0.1,1.3,eng Premier League,Bournemouth
Adam Webster,DF,eng ENG,28.0,15,1144,0,0,0,0.0,0.0,0.4,0.1,eng Premier League,Brighton
Adam Wharton,MF,eng ENG,19.0,16,1297,0,3,3,0.0,0.21,0.3,2.4,eng Premier League,Crystal Palace
Adama Bojang,FW,gm GAM,19.0,9,83,0,0,0,0.0,0.0,1.3,0.0,fr Ligue 1,Reims
Adama Traoré,"FW,MF",es ESP,27.0,17,377,2,3,5,0.48,0.72,1.5,0.7,eng Premier League,Fulham
Adel Mahamoud,FW,km COM,20.0,1,10,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Nantes
Ademola Lookman,"FW,MF",ng NGA,25.0,31,1894,11,7,18,0.52,0.33,9.1,5.2,it Serie A,Atalanta
Adnan Januzaj,"FW,MF",be BEL,28.0,8,193,0,0,0,0.0,0.0,0.6,0.0,es La Liga,Sevilla
Adri Bosch,DF,es ESP,22.0,1,26,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Granada
Adri Embarba,"FW,MF",es ESP,31.0,36,2476,3,2,5,0.11,0.07,4.3,4.4,es La Liga,Almería
Adrian Beck,"MF,FW",de GER,26.0,23,974,1,1,2,0.09,0.09,1.7,0.8,de Bundesliga,Heidenheim
Adrian Grbić,FW,at AUT,26.0,1,31,0,0,0,0.0,0.0,0.1,0.0,fr Ligue 1,Lorient
Adrien Lebeau,"MF,FW",fr FRA,24.0,7,54,0,1,1,0.0,1.67,0.1,0.5,fr Ligue 1,Brest
Adrien Rabiot,MF,fr FRA,28.0,31,2651,5,3,8,0.17,0.1,3.5,4.1,it Serie A,Juventus
Adrien Tameze,"DF,MF",cm CMR,29.0,29,2146,0,2,2,0.0,0.08,0.7,2.2,it Serie A,Torino
Adrien Thomasson,MF,fr FRA,29.0,29,1193,1,2,3,0.08,0.15,3.8,3.9,fr Ligue 1,Lens
Adrien Truffert,DF,fr FRA,21.0,30,2145,1,2,3,0.04,0.08,1.7,1.8,fr Ligue 1,Rennes
Adrià Altimira,"DF,MF",es ESP,22.0,11,775,0,0,0,0.0,0.0,0.0,0.1,es La Liga,Villarreal
Adrià Pedrosa,DF,es ESP,25.0,31,1753,1,4,5,0.05,0.21,0.7,3.2,es La Liga,Sevilla
Adryelson,"DF,FW",br BRA,25.0,2,6,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Lyon
Adson,"MF,FW",br BRA,22.0,8,238,0,0,0,0.0,0.0,0.2,0.1,fr Ligue 1,Nantes
Adu Ares,FW,es ESP,21.0,12,265,0,0,0,0.0,0.0,0.1,0.0,es La Liga,Athletic Club
Agustín Martegani,MF,ar ARG,23.0,18,731,1,0,1,0.12,0.0,0.6,0.5,it Serie A,Salernitana
Ahmed Touba,DF,dz ALG,25.0,6,277,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Lecce
Aiham Ousou,DF,sy SYR,23.0,6,430,0,0,0,0.0,0.0,0.2,0.0,es La Liga,Cádiz
Aihen Muñoz,DF,es ESP,25.0,21,1127,0,2,2,0.0,0.16,0.3,2.0,es La Liga,Real Sociedad
Aimar Oroz,MF,es ESP,21.0,33,2339,2,1,3,0.08,0.04,3.5,1.6,es La Liga,Osasuna
Aingeru Olabarrieta,FW,es ESP,17.0,1,9,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Athletic Club
Ainsley Maitland-Niles,"DF,MF",eng ENG,25.0,23,1432,1,4,5,0.06,0.25,3.0,2.1,fr Ligue 1,Lyon
Aitor Fernández,GK,es ESP,32.0,7,551,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Osasuna
Aitor Paredes,DF,es ESP,23.0,34,2704,1,0,1,0.03,0.0,1.2,0.2,es La Liga,Athletic Club
Aitor Ruibal,"DF,FW",es ESP,27.0,18,1017,2,1,3,0.18,0.09,0.8,1.3,es La Liga,Betis
Akor Adams,FW,ng NGA,23.0,32,2252,8,1,9,0.32,0.04,12.4,1.9,fr Ligue 1,Montpellier
Alaa Bellaarouch,GK,ma MAR,21.0,15,1350,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Strasbourg
Alan Matturro,DF,uy URU,18.0,6,106,0,0,0,0.0,0.0,0.1,0.0,it Serie A,Genoa
Alan Virginius,FW,fr FRA,20.0,16,1005,0,2,2,0.0,0.095,1.3,1.5,"fr Ligue 1, fr Ligue 1","Lille, Clermont Foot"
Alassane Pléa,"FW,MF",fr FRA,30.0,27,1913,7,4,11,0.33,0.19,7.0,4.0,de Bundesliga,Gladbach
Alban Lafont,GK,fr FRA,24.0,28,2496,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Nantes
Albert Guðmundsson,"FW,MF",is ISL,26.0,35,3016,14,4,18,0.42,0.12,9.9,5.2,it Serie A,Genoa
Albert Sambi Lokonga,MF,be BEL,23.0,17,1303,1,3,4,0.07,0.21,0.6,1.4,eng Premier League,Luton Town
Alberto Cerri,FW,it ITA,27.0,12,545,1,0,1,0.17,0.0,1.2,0.2,it Serie A,Empoli
Alberto Dadie,MF,es ESP,21.0,1,28,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Real Sociedad
Alberto Dossena,DF,it ITA,24.0,35,2977,2,4,6,0.06,0.12,2.2,2.1,it Serie A,Cagliari
Alberto Grassi,MF,it ITA,28.0,27,1807,0,1,1,0.0,0.05,1.1,0.6,it Serie A,Empoli
Alberto Marí,FW,es ESP,22.0,16,276,1,1,2,0.33,0.33,1.8,0.9,es La Liga,Valencia
Alberto Moleiro,"FW,MF",es ESP,19.0,28,1803,3,3,6,0.15,0.15,2.0,2.7,es La Liga,Las Palmas
Alberto Moreno,DF,es ESP,31.0,27,1484,2,2,4,0.12,0.12,0.7,1.6,es La Liga,Villarreal
Alberto Perea,"MF,FW",es ESP,32.0,2,2,0,0,0,0.0,0.0,0.0,0.1,es La Liga,Granada
Alberto Risco,MF,es ESP,17.0,4,137,0,0,0,0.0,0.0,0.1,0.3,es La Liga,Getafe
Alberto Soro,MF,es ESP,24.0,1,8,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Granada
Aleix García,MF,es ESP,26.0,37,3199,3,6,9,0.08,0.17,1.8,5.5,es La Liga,Girona
Alejandro Balde,DF,es ESP,19.0,18,1378,0,1,1,0.0,0.07,0.1,1.2,es La Liga,Barcelona
Alejandro Garnacho,FW,ar ARG,19.0,36,2565,7,4,11,0.25,0.14,8.4,5.1,eng Premier League,Manchester Utd
Alejandro Jiménez,DF,es ESP,18.0,3,68,0,0,0,0.0,0.0,0.0,0.1,it Serie A,Milan
Alejandro Pozo Pozo,"DF,MF",es ESP,24.0,21,976,0,0,0,0.0,0.0,0.4,0.6,es La Liga,Almería
Alejo Véliz,FW,ar ARG,19.0,14,85,1,0,1,0.9,0.0,0.4,0.0,"eng Premier League, es La Liga","Tottenham, Sevilla"
Aleksandar Mitrović,FW,rs SRB,28.0,1,33,0,0,0,0.0,0.0,0.2,0.0,eng Premier League,Fulham
Aleksandar Pavlovic,MF,de GER,19.0,19,1227,2,2,4,0.15,0.15,1.2,1.0,de Bundesliga,Bayern Munich
Aleksandar Radovanović,DF,rs SRB,29.0,9,569,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Almería
Aleksandar Sedlar,DF,rs SRB,31.0,11,946,1,0,1,0.1,0.0,0.3,0.1,es La Liga,Alavés
Aleksandr Golovin,"MF,FW",ru RUS,27.0,25,2147,6,6,12,0.25,0.25,3.4,4.7,fr Ligue 1,Monaco
Aleksei Miranchuk,"MF,FW",ru RUS,27.0,27,1176,3,5,8,0.23,0.38,5.4,4.1,it Serie A,Atalanta
Alessandro Bastoni,DF,it ITA,24.0,28,2268,1,3,4,0.04,0.12,1.2,3.4,it Serie A,Inter
Alessandro Buongiorno,DF,it ITA,24.0,29,2527,3,0,3,0.11,0.0,1.6,0.1,it Serie A,Torino
Alessandro Deiola,MF,it ITA,27.0,27,1608,1,0,1,0.06,0.0,2.5,0.9,it Serie A,Cagliari
Alessandro Dellavalle,DF,it ITA,19.0,1,15,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Torino
Alessandro Di Pardo,"DF,MF",it ITA,24.0,15,359,0,0,0,0.0,0.0,0.1,0.2,it Serie A,Cagliari
Alessandro Florenzi,DF,it ITA,32.0,31,1732,1,4,5,0.05,0.21,1.7,3.4,it Serie A,Milan
Alessandro Sorrentino,GK,it ITA,21.0,7,548,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Monza
Alessandro Vogliacco,DF,it ITA,24.0,20,1169,0,1,1,0.0,0.08,0.4,0.5,it Serie A,Genoa
Alessandro Zanoli,DF,it ITA,22.0,17,921,0,2,2,0.0,0.2,0.2,1.8,it Serie A,Salernitana
Alessandro Zanoli,"DF,FW",it ITA,22.0,4,52,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Napoli
Alessio Cragno,GK,it ITA,29.0,3,270,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Sassuolo
Alessio Romagnoli,DF,it ITA,28.0,29,2411,0,0,0,0.0,0.0,0.6,0.6,it Serie A,Lazio
Alessio Zerbin,"DF,FW",it ITA,24.0,13,684,0,1,1,0.0,0.13,0.4,0.8,it Serie A,Monza
Alessio Zerbin,"FW,DF",it ITA,24.0,7,150,0,0,0,0.0,0.0,0.2,0.6,it Serie A,Napoli
Alex Baena,"MF,FW",es ESP,22.0,34,2579,2,14,16,0.07,0.49,7.9,9.2,es La Liga,Villarreal
Alex Iwobi,"FW,MF",ng NGA,27.0,30,2192,5,2,7,0.21,0.08,5.3,4.7,eng Premier League,Fulham
Alex Iwobi,MF,ng NGA,27.0,2,140,0,0,0,0.0,0.0,0.3,0.2,eng Premier League,Everton
Alex Král,MF,cz CZE,25.0,24,1370,0,0,0,0.0,0.0,1.7,0.4,de Bundesliga,Union Berlin
Alex Matos,MF,eng ENG,18.0,1,1,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Chelsea
Alex Meret,GK,it ITA,26.0,31,2773,0,0,0,0.0,0.0,0.0,0.1,it Serie A,Napoli
Alex Murphy,"DF,FW",ie IRL,19.0,2,13,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Newcastle Utd
Alex Sandro,DF,br BRA,32.0,16,721,1,0,1,0.12,0.0,0.4,0.9,it Serie A,Juventus
Alex Scott,MF,eng ENG,19.0,23,1014,1,1,2,0.09,0.09,0.7,1.7,eng Premier League,Bournemouth
Alex Sola,"DF,MF",es ESP,24.0,2,30,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Real Sociedad
Alex Sola,"FW,MF",es ESP,24.0,29,1262,0,3,3,0.0,0.21,1.6,2.3,es La Liga,Alavés
Alexander Brunst,GK,de GER,28.0,3,270,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Darmstadt 98
Alexander Isak,FW,se SWE,23.0,30,2255,21,2,23,0.84,0.08,20.3,3.7,eng Premier League,Newcastle Utd
Alexander Meyer,GK,de GER,32.0,8,695,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Dortmund
Alexander Nübel,GK,de GER,26.0,30,2700,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Stuttgart
Alexander Schwolow,GK,de GER,31.0,1,90,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Union Berlin
Alexander Sørloth,FW,no NOR,27.0,34,2489,23,6,29,0.83,0.22,12.3,4.4,es La Liga,Villarreal
Alexandre Lacazette,FW,fr FRA,32.0,29,2293,19,2,21,0.75,0.08,11.4,1.9,fr Ligue 1,Lyon
Alexandre Oukidja,GK,dz ALG,35.0,34,2987,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Metz
Alexis Blin,MF,fr FRA,26.0,31,1642,0,2,2,0.0,0.11,1.1,0.7,it Serie A,Lecce
Alexis Claude-Maurice,MF,fr FRA,25.0,18,504,0,0,0,0.0,0.0,0.8,0.3,fr Ligue 1,Nice
Alexis Mac Allister,MF,ar ARG,24.0,33,2599,5,5,10,0.17,0.17,3.7,3.6,eng Premier League,Liverpool
Alexis Saelemaekers,"FW,MF",be BEL,24.0,30,1887,4,2,6,0.19,0.1,2.6,2.8,it Serie A,Bologna
Alexis Sánchez,"FW,MF",cl CHI,34.0,23,763,2,5,7,0.24,0.59,3.2,3.1,it Serie A,Inter
Alexsandro Ribeiro,DF,br BRA,23.0,29,2220,0,0,0,0.0,0.0,2.0,0.5,fr Ligue 1,Lille
Alfie Doughty,DF,eng ENG,23.0,37,2925,2,8,10,0.06,0.25,1.3,6.3,eng Premier League,Luton Town
Alfie Gilchrist,DF,eng ENG,19.0,11,207,1,0,1,0.43,0.0,0.3,0.0,eng Premier League,Chelsea
Alfonso Espino,DF,uy URU,31.0,31,2507,0,1,1,0.0,0.04,1.0,2.8,es La Liga,Rayo Vallecano
Alfonso Pedraza,DF,es ESP,27.0,19,1116,1,3,4,0.08,0.24,0.6,3.6,es La Liga,Villarreal
Alfred Duncan,MF,gh GHA,30.0,30,1888,2,5,7,0.1,0.24,1.5,2.0,it Serie A,Fiorentina
Alidu Seidu,DF,gh GHA,23.0,25,1724,0,1,1,0.0,0.04,0.30000000000000004,0.7999999999999999,"fr Ligue 1, fr Ligue 1","Rennes, Clermont Foot"
Aliou Baldé,"FW,DF",gn GUI,20.0,7,69,0,0,0,0.0,0.0,0.1,0.0,fr Ligue 1,Nice
Alisson,GK,br BRA,30.0,28,2520,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Liverpool
Aljoscha Kemlein,MF,de GER,18.0,2,29,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Union Berlin
Alois Confais,"MF,FW",fr FRA,26.0,2,7,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Le Havre
Alphadjo Cissè,FW,it ITA,16.0,1,8,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Hellas Verona
Alphonse Areola,GK,fr FRA,30.0,31,2699,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,West Ham
Alphonso Davies,DF,ca CAN,22.0,29,2065,2,5,7,0.09,0.22,1.0,2.9,de Bundesliga,Bayern Munich
Amad Diallo,"FW,MF",ci CIV,21.0,9,390,1,1,2,0.23,0.23,0.5,1.1,eng Premier League,Manchester Utd
Amadou Diallo,MF,eng ENG,20.0,1,1,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Newcastle Utd
Amadou Haidara,MF,ml MLI,25.0,21,1526,2,1,3,0.12,0.06,1.1,1.6,de Bundesliga,RB Leipzig
Amadou Koné,MF,ml MLI,18.0,16,475,0,0,0,0.0,0.0,0.3,0.2,fr Ligue 1,Reims
Amadou Onana,MF,be BEL,21.0,30,2091,2,0,2,0.09,0.0,2.0,2.7,eng Premier League,Everton
Amari'i Bell,DF,jm JAM,29.0,21,1720,0,0,0,0.0,0.0,0.3,0.5,eng Premier League,Luton Town
Amath,"FW,MF",sn SEN,27.0,15,394,0,0,0,0.0,0.0,1.6,0.4,es La Liga,Mallorca
Ameen Al-Dakhil,DF,be BEL,21.0,13,1056,1,0,1,0.09,0.0,1.3,0.1,eng Premier League,Burnley
Amin Sarr,"FW,MF",se SWE,22.0,17,484,0,0,0,0.0,0.0,0.8999999999999999,0.4,"fr Ligue 1, de Bundesliga","Lyon, Wolfsburg"
Amine Adli,"MF,FW",ma MAR,23.0,23,898,4,6,10,0.4,0.6,3.3,2.3,de Bundesliga,Leverkusen
Amine Gouiri,"FW,MF",dz ALG,23.0,31,2067,7,3,10,0.3,0.13,7.4,1.7,fr Ligue 1,Rennes
Amine Harit,"MF,FW",ma MAR,26.0,28,1821,1,2,3,0.05,0.1,3.7,3.7,fr Ligue 1,Marseille
Amine Salama,FW,fr FRA,23.0,11,313,0,0,0,0.0,0.0,0.7,0.2,fr Ligue 1,Reims
Amir Richardson,MF,ma MAR,21.0,28,1352,3,1,4,0.2,0.07,1.6,1.1,fr Ligue 1,Reims
Amir Rrahmani,DF,xk KVX,29.0,30,2600,3,0,3,0.1,0.0,2.2,0.9,it Serie A,Napoli
Amos Pieper,DF,de GER,25.0,7,590,0,0,0,0.0,0.0,0.5,0.8,de Bundesliga,Werder Bremen
Anass Zaroury,"FW,MF",ma MAR,22.0,6,152,0,0,0,0.0,0.0,0.2,0.0,eng Premier League,Burnley
Anastasios Douvikas,FW,gr GRE,23.0,32,905,7,1,8,0.7,0.1,4.6,1.3,es La Liga,Celta Vigo
Ander Barrenetxea,"FW,MF",es ESP,21.0,29,1427,4,1,5,0.25,0.06,3.5,1.3,es La Liga,Real Sociedad
Ander Guevara,MF,es ESP,26.0,37,2932,1,0,1,0.03,0.0,0.7,0.9,es La Liga,Alavés
Ander Herrera,MF,es ESP,33.0,23,1030,0,3,3,0.0,0.26,0.7,1.2,es La Liga,Athletic Club
Andoni Gorosabel,DF,es ESP,26.0,36,2854,1,0,1,0.03,0.0,0.7,1.3,es La Liga,Alavés
Andre Brooks,"MF,DF",eng ENG,19.0,20,938,0,0,0,0.0,0.0,0.4,0.1,eng Premier League,Sheffield Utd
Andre-Frank Zambo Anguissa,MF,cm CMR,27.0,34,2786,0,2,2,0.0,0.06,3.4,3.0,it Serie A,Napoli
Andrea Belotti,FW,it ITA,29.0,29,1628,6,2,8,0.34,0.135,6.1,1.9,"it Serie A, it Serie A","Fiorentina, Roma"
Andrea Cambiaso,"DF,FW",it ITA,23.0,34,2372,2,3,5,0.08,0.11,2.2,3.9,it Serie A,Juventus
Andrea Carboni,DF,it ITA,22.0,21,1487,1,0,1,0.06,0.0,1.2,0.5,it Serie A,Monza
Andrea Colpani,"MF,FW",it ITA,24.0,38,2657,8,4,12,0.27,0.14,4.8,5.0,it Serie A,Monza
Andrea Consigli,GK,it ITA,36.0,35,3150,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Sassuolo
Andrea Ferraris,MF,it ITA,20.0,1,10,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Monza
Andrea Petagna,FW,it ITA,28.0,18,995,1,1,2,0.09,0.09,1.6,1.0,it Serie A,Cagliari
Andrea Pinamonti,FW,it ITA,24.0,38,3076,11,1,12,0.32,0.03,8.9,1.9,it Serie A,Sassuolo
Andrea Sodero,MF,it ITA,18.0,1,5,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Empoli
Andreas Christensen,"DF,MF",dk DEN,27.0,30,1979,2,2,4,0.09,0.09,1.0,1.1,es La Liga,Barcelona
Andreas Hanche-Olsen,DF,no NOR,26.0,15,992,1,0,1,0.09,0.0,0.7,0.0,de Bundesliga,Mainz 05
Andreas Luthe,GK,de GER,36.0,1,90,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Bochum
Andreas Müller,MF,de GER,23.0,11,349,0,0,0,0.0,0.0,0.1,0.0,de Bundesliga,Darmstadt 98
Andreas Pereira,MF,br BRA,27.0,37,2613,3,7,10,0.1,0.24,4.6,7.1,eng Premier League,Fulham
Andrei Ratiu,"DF,MF",ro ROU,25.0,12,630,0,0,0,0.0,0.0,0.3,0.6,es La Liga,Rayo Vallecano
Andrej Ilic,FW,rs SRB,23.0,2,9,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Lille
Andrej Kramarić,"MF,FW",hr CRO,32.0,30,2199,15,6,21,0.61,0.25,11.1,7.3,de Bundesliga,Hoffenheim
Andres Sfait,"DF,MF",ro ROU,18.0,2,23,0,0,0,0.0,0.0,0.0,0.1,it Serie A,Salernitana
Andrew Omobamidele,DF,ie IRL,21.0,11,783,0,0,0,0.0,0.0,0.1,0.1,eng Premier League,Nott'ham Forest
Andrew Robertson,DF,sct SCO,29.0,23,1693,3,2,5,0.16,0.11,1.9,5.4,eng Premier League,Liverpool
Andrey Santos,MF,br BRA,19.0,12,839,1,0,1,0.055,0.0,1.1,1.0,"eng Premier League, fr Ligue 1","Nott'ham Forest, Strasbourg"
Andriy Lunin,GK,ua UKR,24.0,21,1890,0,0,0,0.0,0.0,0.0,0.3,es La Liga,Real Madrid
Andros Townsend,"MF,FW",eng ENG,32.0,27,1210,1,3,4,0.07,0.22,1.2,1.3,eng Premier League,Luton Town
András Schäfer,MF,hu HUN,24.0,20,1214,1,2,3,0.07,0.15,1.8,1.5,de Bundesliga,Union Berlin
André Ayew,FW,gh GHA,33.0,19,1104,5,0,5,0.41,0.0,3.1,0.8,fr Ligue 1,Le Havre
André Ferreira,GK,pt POR,27.0,15,1340,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Granada
André Gomes,"MF,FW",pt POR,30.0,12,508,1,0,1,0.18,0.0,0.3,0.4,eng Premier League,Everton
André Onana,GK,cm CMR,27.0,38,3420,0,0,0,0.0,0.0,0.0,0.1,eng Premier League,Manchester Utd
André Silva,FW,pt POR,27.0,19,729,3,0,3,0.37,0.0,3.3,0.3,es La Liga,Real Sociedad
Andrés Guardado,MF,mx MEX,36.0,12,447,0,0,0,0.0,0.0,0.1,0.2,es La Liga,Betis
Andy Diouf,MF,fr FRA,20.0,25,1314,1,0,1,0.07,0.0,1.5,1.1,fr Ligue 1,Lens
Andy Logbo,FW,fr FRA,19.0,10,248,0,0,0,0.0,0.0,0.3,0.1,fr Ligue 1,Le Havre
Andy Pelmard,DF,fr FRA,23.0,34,2989,0,0,0,0.0,0.0,0.3,0.6,fr Ligue 1,Clermont Foot
Anel Ahmedhodžić,DF,ba BIH,24.0,31,2649,2,0,2,0.07,0.0,3.1,0.8,eng Premier League,Sheffield Utd
Angel Gomes,MF,eng ENG,22.0,31,2571,0,8,8,0.0,0.28,2.0,6.2,fr Ligue 1,Lille
Angeliño,DF,es ESP,26.0,16,1141,0,1,1,0.0,0.08,0.2,1.6,it Serie A,Roma
Angelo Fulgini,MF,fr FRA,26.0,29,1376,1,2,3,0.07,0.13,3.2,3.2,fr Ligue 1,Lens
Angelo Ogbonna,DF,it ITA,35.0,11,635,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,West Ham
Angelo Stiller,MF,de GER,22.0,32,2778,1,5,6,0.015,0.085,1.7000000000000002,5.1,"de Bundesliga, de Bundesliga","Hoffenheim, Stuttgart"
Anis Ben Slimane,MF,tn TUN,22.0,15,419,0,0,0,0.0,0.0,0.8,0.3,eng Premier League,Sheffield Utd
Ansgar Knauff,"MF,DF",de GER,21.0,31,2109,7,2,9,0.3,0.09,5.7,2.3,de Bundesliga,Eint Frankfurt
Ansu Fati,"MF,FW",es ESP,20.0,22,571,2,0,2,0.175,0.0,4.1,0.8,"eng Premier League, es La Liga","Brighton, Barcelona"
Antal Yaakobishvili,DF,hu HUN,19.0,1,61,0,0,0,0.0,0.0,0.0,0.3,es La Liga,Girona
Ante Budimir,FW,hr CRO,32.0,33,2435,17,2,19,0.63,0.07,14.2,1.8,es La Liga,Osasuna
Anthony Caci,DF,fr FRA,26.0,31,2486,2,3,5,0.07,0.11,1.5,2.9,de Bundesliga,Mainz 05
Anthony Elanga,"FW,MF",se SWE,21.0,36,2433,5,9,14,0.18,0.33,6.6,6.7,eng Premier League,Nott'ham Forest
