Player,Pos,Nation,Age,MP,Min,Gls,Ast,G+A,Gls_90,Ast_90,xG,xAG,Comp,Squad
Matej Maglica,DF,hr CRO,24.0,26,1698,1,0,1,0.05,0.0,0.6,0.7,de Bundesliga,Darmstadt 98
Mateo Kovačić,MF,hr CRO,29.0,30,1551,1,0,1,0.06,0.0,1.3,1.6,eng Premier League,Manchester City
Mateo Retegui,FW,it ITA,24.0,29,2216,7,2,9,0.28,0.08,5.8,0.7,it Serie A,Genoa
Mateu Morey,DF,es ESP,23.0,3,110,0,0,0,0.0,0.0,0.0,0.1,de Bundesliga,Dortmund
Mateus Lusuardi,DF,br BRA,19.0,4,219,0,0,0,0.0,0.0,0.1,0.0,it Serie A,Frosinone
Mateusz Wieteska,DF,pl POL,26.0,21,1139,1,1,2,0.26,0.045,0.4,0.6,"it Serie A, fr Ligue 1","Cagliari, Clermont Foot"
Mateusz Łęgowski,MF,pl POL,20.0,29,1145,0,0,0,0.0,0.0,0.2,0.2,it Serie A,Salernitana
Matheus Cunha,"FW,MF",br BRA,24.0,32,2440,12,7,19,0.44,0.26,9.5,3.2,eng Premier League,Wolves
Matheus França,"MF,FW",br BRA,19.0,10,232,0,1,1,0.0,0.39,0.4,0.9,eng Premier League,Crystal Palace
Matheus Henrique,MF,br BRA,25.0,31,2501,2,2,4,0.07,0.07,2.3,1.6,it Serie A,Sassuolo
Matheus Nunes,MF,pt POR,24.0,19,840,0,2,2,0.0,0.135,0.9,1.2000000000000002,"eng Premier League, eng Premier League","Wolves, Manchester City"
Mathias Honsak,"FW,MF",at AUT,26.0,23,1021,1,1,2,0.09,0.09,1.8,0.7,de Bundesliga,Darmstadt 98
Mathias Jensen,MF,dk DEN,27.0,32,2204,3,3,6,0.12,0.12,0.7,4.0,eng Premier League,Brentford
Mathias Jørgensen,DF,dk DEN,33.0,14,1087,1,0,1,0.08,0.0,0.7,0.9,eng Premier League,Brentford
Mathias Olesen,"MF,FW",lu LUX,22.0,6,112,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Köln
Mathias Pereira Lage,"FW,MF",pt POR,26.0,30,1187,3,2,5,0.23,0.15,3.5,1.7,fr Ligue 1,Brest
